Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Incomplete Rides,Incomplete Rides Reason,Ride Distance (KM),Driver Ratings,Customer Rating,Payment Method,Price_BND,Pickup ,Drop ,Driver ID,Platform Fee BND,Driver Earnings BND,Month,Year,Day of Week,On Time Arrival,Driver Shift Hours,Offer ID,Offer Sent Timestamp,Offer Result,Response Timestamp,Driver Session ID,Session Start,Session End,Request Timestamp,Driver Assigned Timestamp,Driver Arrival Timestamp,Pickup Timestamp,Dropoff Timestamp,Cancellation Timestamp,Pickup Lat,Pickup Lon,Dropoff Lat,Dropoff Lon,Fare Base,Distance Fee,Time Fee,Total Fare Authoritative,Fare ID,Invoice ID,Currency,Vehicle ID,Vehicle Active Flag,Marketplace Region,Estimated ETA at Assignment,Surge Region,Driver Acceptance Latency,Customer Signup Date,Data Quality Flag
2025-01-21,18:40:17,"""CNR4802995""",Completed,"""CID9514652""",Sedan,Jerudong,Bangar,12.5,36.3,,,,7.75,4.6,4.6,Dart Wallet,6.0,Belait,Tutong,Faisal Hakimi,1.11,4.5,May,2024,Thursday,0.0,4.8,OFF-200102,5/16/2024 18:39,accepted,5/16/2024 18:39,SESS-85181,5/16/2024 14:40,5/16/2024 20:40,5/16/2024 18:40,2025-01-21 02:54:00,2025-01-21 02:56:00,2025-01-21 03:01:00,2025-01-21 03:23:00,,4.54355,114.15799,4.71193,114.62513,3.5,19.53,2.9,26.93,FQ-7602,INV-485042,BND,VEH-126,Yes,Belait,7,Normal,9,1/19/2024,Pass
2025-01-14,18:52:21,"""CNR5527486""",Completed,"""CID1522967""",Premium,Mata-Mata,Mentiri,3.1,10.9,,,,12.02,3.6,3.9,Card,6.27,Brunei-Muara,Tutong,Ridhwan Bakar,0.95,4.32,November,2024,Tuesday,1.0,11.1,OFF-200179,11/12/2024 18:51,accepted,11/12/2024 18:51,SESS-20959,11/12/2024 15:52,11/12/2024 20:52,11/12/2024 18:52,2025-01-14 07:21:00,2025-01-14 07:22:00,2025-01-14 07:28:00,2025-01-14 08:10:00,,4.91079,114.87978,4.68273,114.73974,3.5,2.04,0.87,10.62,FQ-7306,INV-318395,BND,VEH-504,Yes,Belait,12,High Demand Zone,9,6/20/2023,Pass
2025-01-15,11:35:20,"""CNR3950515""",Completed,"""CID9062603""",Sedan,Sengkurong,Berakas,8.2,14.2,1.0,,,25.8,4.8,4.2,Cash,34.53,Brunei-Muara,Belait,Abdul Rahman,5.42,28.2,December,2024,Thursday,1.0,8.1,OFF-200092,12/26/2024 11:34,accepted,12/26/2024 11:34,SESS-85776,12/26/2024 6:35,12/26/2024 12:35,12/26/2024 11:35,2025-01-15 16:59:00,2025-01-15 17:04:00,2025-01-15 17:07:00,2025-01-15 17:36:00,12/26/2024 11:44,4.90952,114.9285,4.53955,114.11603,3.5,3.92,1.14,15.7,FQ-9328,INV-348133,BND,VEH-428,Yes,Tutong,11,High Demand Zone,3,1/1/2023,Pass
2025-01-06,15:02:29,"""CNR6886384""",Cancelled,"""CID6455263""",SUV,Bangar,Muara,13.0,10.2,,,,19.56,4.7,4.8,Dart Wallet,34.66,Belait,Brunei-Muara,Zulhelmi Ishak,7.03,25.62,November,2024,Tuesday,0.0,5.5,OFF-200014,11/19/2024 15:02,accepted,11/19/2024 15:02,SESS-38008,11/19/2024 10:02,11/19/2024 17:02,11/19/2024 15:02,2025-01-06 11:15:00,2025-01-06 11:16:00,2025-01-06 11:22:00,2025-01-06 11:40:00,,4.57292,114.14499,4.85556,114.96281,3.5,7.24,0.82,19.45,FQ-8698,INV-370782,BND,VEH-353,Yes,Belait,4,High Demand Zone,6,1/8/2023,Pass
2025-01-08,13:53:59,"""CNR5691095""",Cancelled,"""CID6721290""",SUV,Berakas,Mentiri,4.8,34.3,,,,5.05,4.1,4.6,Dart Wallet,7.57,Brunei-Muara,Tutong,,1.37,5.95,April,2024,Tuesday,,9.8,OFF-200106,4/23/2024 13:53,rejected,4/23/2024 13:53,SESS-16338,4/23/2024 10:53,4/23/2024 14:53,4/23/2024 13:53,2025-01-08 01:40:00,2025-01-08 01:43:00,2025-01-08 01:51:00,2025-01-08 02:16:00,,4.92991,114.94706,4.7877,114.73165,3.5,3.92,2.74,15.16,FQ-9582,INV-465906,BND,VEH-510,Yes,Brunei-Muara,6,Normal,4,12/3/2023,Pass
2025-01-19,14:49:19,"""CNR1758100""",Completed,"""CID7007318""",Sedan,Bandar Seri Begawan,Kiulap,10.3,23.4,,,,12.16,4.3,3.9,Card,22.09,Brunei-Muara,Brunei-Muara,Noraini Kassim,3.76,16.54,October,2024,Friday,0.0,6.9,OFF-200071,10/4/2024 14:48,rejected,10/4/2024 14:48,SESS-88755,10/4/2024 10:49,10/4/2024 16:49,10/4/2024 14:49,2025-01-19 12:14:00,2025-01-19 12:19:00,2025-01-19 12:23:00,2025-01-19 12:42:00,,4.85156,114.9388,4.97422,114.92309,3.5,3.7,1.87,13.6,FQ-6719,INV-204938,BND,VEH-967,Yes,Temburong,4,High Demand Zone,12,1/17/2024,Pass
2025-01-31,17:23:20,"""CNR5411958""",Cancelled,"""CID4138382""",Compact,Jerudong,Kuala Belait,11.2,39.1,,1.0,Vehicle Breakdown,26.4,4.9,3.8,Card,33.52,Belait,Brunei-Muara,Abdul Rahman,5.87,22.32,February,2024,Saturday,1.0,11.0,OFF-200188,2/3/2024 17:22,accepted,2/3/2024 17:22,SESS-85776,2/3/2024 14:23,2/3/2024 20:23,2/3/2024 17:23,2025-01-31 00:30:00,2025-01-31 00:33:00,2025-01-31 00:43:00,2025-01-31 00:55:00,,4.56702,114.28703,4.90079,114.96501,3.5,7.38,3.13,15.01,FQ-8424,INV-948366,BND,VEH-428,Yes,Tutong,10,Normal,10,11/10/2023,Pass
2025-01-28,17:31:04,"""CNR6842007""",Cancelled by Driver,"""CID5905633""",SUV,Serusop,Sengkurong,8.2,12.1,,,,4.24,3.9,4.7,Cash,18.64,Brunei-Muara,Brunei-Muara,Aiman Hakim,4.62,12.88,March,2024,Monday,1.0,11.8,OFF-200020,3/11/2024 17:30,accepted,3/11/2024 17:30,SESS-93521,3/11/2024 12:31,3/11/2024 19:31,3/11/2024 17:31,2025-01-28 20:04:00,2025-01-28 20:09:00,2025-01-28 20:19:00,2025-01-28 21:04:00,3/11/2024 17:35,4.85469,114.90842,4.87973,114.89058,3.5,3.92,0.97,6.89,FQ-8752,INV-828783,BND,VEH-146,Yes,Belait,10,Normal,8,9/9/2023,Pass
2025-01-08,18:40:17,"""CNR4802995""",Cancelled by Driver,"""CID9514652""",SUV,Serusop,Lumut,12.5,36.3,,,,27.94,4.1,4.6,Online Banking,33.86,Belait,Tutong,Faisal Hakimi,6.89,26.71,May,2024,Thursday,0.0,4.8,OFF-200102,5/16/2024 18:39,rejected,5/16/2024 18:39,SESS-85181,5/16/2024 14:40,5/16/2024 20:40,5/16/2024 18:40,2025-01-08 17:55:00,2025-01-08 17:56:00,2025-01-08 18:05:00,2025-01-08 18:15:00,,4.54355,114.15799,4.71193,114.62513,3.5,19.53,2.9,26.93,FQ-7602,INV-485042,BND,VEH-126,Yes,Belait,7,Normal,9,1/19/2024,Pass
2025-01-22,20:35:44,"""CNR4134932""",Completed,"""CID6712001""",Sedan,Muara,Muara,14.8,17.1,,,,1.21,3.5,3.6,Online Banking,21.83,Belait,Brunei-Muara,Syafiqah Yusof,2.38,16.96,July,2024,Friday,1.0,9.4,OFF-200121,7/19/2024 20:35,accepted,7/19/2024 20:35,SESS-20137,7/19/2024 16:35,7/19/2024 22:35,7/19/2024 20:35,2025-01-22 20:09:00,2025-01-22 20:13:00,2025-01-22 20:23:00,2025-01-22 20:56:00,,4.65002,114.36316,4.85119,114.97616,3.5,21.95,1.37,27.82,FQ-6666,INV-235039,BND,VEH-214,Yes,Brunei-Muara,5,Normal,1,6/4/2023,Pass
